day;timestamp;product;bid_price_1;bid_volume_1;bid_price_2;bid_volume_2;bid_price_3;bid_volume_3;ask_price_1;ask_volume_1;ask_price_2;ask_volume_2;ask_price_3;ask_volume_3;mid_price;profit_and_loss
1;0;VOLCANIC_ROCK;10515;143;10514;57;;;10517;200;;;;;10516.0;0.0
1;0;PICNIC_BASKET1;58705;12;58704;27;;;58716;12;58717;27;;;58710.5;0.0
1;0;PICNIC_BASKET2;30252;12;30251;27;;;30258;39;;;;;30255.0;0.0
1;0;VOLCANIC_ROCK_VOUCHER_9500;1015;12;;;;;1017;12;;;;;1016.0;0.0
1;0;VOLCANIC_ROCK_VOUCHER_9750;766;12;;;;;767;12;;;;;766.5;0.0
1;0;CROISSANTS;4274;104;;;;;4276;104;;;;;4275.0;0.0
1;0;MAGNIFICENT_MACARONS;624;20;622;12;617;23;631;10;639;23;644;12;627.5;0.0
1;0;VOLCANIC_ROCK_VOUCHER_10250;279;12;;;;;280;12;;;;;279.5;0.0
1;0;SQUID_INK;1834;23;;;;;1838;23;;;;;1836.0;0.0
1;0;VOLCANIC_ROCK_VOUCHER_10500;95;12;;;;;96;12;;;;;95.5;0.0
1;0;RAINFOREST_RESIN;9992;31;;;;;10008;31;;;;;10000.0;0.0
1;0;KELP;2032;23;;;;;2035;23;;;;;2033.5;0.0
1;0;JAMS;6541;237;;;;;6543;237;;;;;6542.0;0.0
1;0;VOLCANIC_ROCK_VOUCHER_10000;517;12;;;;;518;12;;;;;517.5;0.0
1;0;DJEMBES;13409;61;;;;;13410;27;13411;34;;;13409.5;0.0
1;100;CROISSANTS;4275;48;4274;52;;;4276;100;;;;;4275.5;0.0
1;100;KELP;2034;1;2033;2;2032;22;2035;22;;;;;2034.5;0.0
1;100;JAMS;6541;189;;;;;6543;189;;;;;6542.0;0.0
1;100;SQUID_INK;1838;1;1837;2;1836;22;1839;22;;;;;1838.5;0.0
1;100;VOLCANIC_ROCK_VOUCHER_10000;516;13;;;;;517;13;;;;;516.5;0.0
1;100;VOLCANIC_ROCK_VOUCHER_10250;278;13;;;;;279;13;;;;;278.5;0.0
1;100;DJEMBES;13408;56;;;;;13410;56;;;;;13409.0;0.0
1;100;VOLCANIC_ROCK_VOUCHER_10500;94;13;;;;;95;13;;;;;94.5;0.0
1;100;PICNIC_BASKET1;58706;1;58705;12;58704;20;58715;1;58716;12;58717;20;58710.5;0.0
1;100;PICNIC_BASKET2;30255;13;30254;20;;;30260;1;30261;32;;;30257.5;0.0
1;100;VOLCANIC_ROCK_VOUCHER_9500;1015;13;;;;;1016;13;;;;;1015.5;0.0
1;100;VOLCANIC_ROCK_VOUCHER_9750;765;13;;;;;766;13;;;;;765.5;0.0
1;100;RAINFOREST_RESIN;9992;27;;;;;10008;27;;;;;10000.0;0.0
1;100;VOLCANIC_ROCK;10514;104;10513;44;;;10516;104;10517;44;;;10515.0;0.0
1;100;MAGNIFICENT_MACARONS;627;14;625;12;620;21;634;7;642;21;647;12;630.5;0.0
1;200;VOLCANIC_ROCK_VOUCHER_9500;1015;16;;;;;1016;16;;;;;1015.5;0.0
1;200;RAINFOREST_RESIN;10001;1;9992;25;;;10008;25;;;;;10004.5;0.0
1;200;VOLCANIC_ROCK_VOUCHER_9750;765;16;;;;;766;16;;;;;765.5;0.0
1;200;VOLCANIC_ROCK_VOUCHER_10250;278;16;;;;;279;16;;;;;278.5;0.0
1;200;SQUID_INK;1839;22;;;;;1842;22;;;;;1840.5;0.0
1;200;VOLCANIC_ROCK;10514;133;10513;62;;;10516;133;10517;62;;;10515.0;0.0
1;200;VOLCANIC_ROCK_VOUCHER_10500;94;16;;;;;95;16;;;;;94.5;0.0
1;200;CROISSANTS;4275;65;4274;98;;;4276;163;;;;;4275.5;0.0
1;200;DJEMBES;13409;62;;;;;13410;62;;;;;13409.5;0.0
1;200;KELP;2032;1;2031;21;;;2035;22;;;;;2033.5;0.0
1;200;JAMS;6542;87;6541;111;;;6543;98;6544;111;;;6542.5;0.0
1;200;MAGNIFICENT_MACARONS;627;10;625;15;620;21;634;5;642;21;647;15;630.5;0.0
1;200;VOLCANIC_ROCK_VOUCHER_10000;516;16;;;;;517;16;;;;;516.5;0.0
1;200;PICNIC_BASKET1;58707;1;58706;15;58705;26;58716;1;58717;15;58718;26;58711.5;0.0
1;200;PICNIC_BASKET2;30256;1;30255;41;;;30261;16;30262;26;;;30258.5;0.0
1;300;DJEMBES;13408;54;;;;;13410;54;;;;;13409.0;0.0
1;300;VOLCANIC_ROCK;10516;200;;;;;10518;149;10519;51;;;10517.0;0.0
1;300;MAGNIFICENT_MACARONS;629;14;627;14;622;26;636;7;644;26;649;14;632.5;0.0
1;300;VOLCANIC_ROCK_VOUCHER_10500;95;14;;;;;96;14;;;;;95.5;0.0
1;300;CROISSANTS;4275;53;4274;64;;;4276;117;;;;;4275.5;0.0
1;300;PICNIC_BASKET2;30256;30;;;;;30262;14;30263;16;;;30259.0;0.0
1;300;PICNIC_BASKET1;58705;14;58704;16;;;58716;14;58717;16;;;58710.5;0.0
1;300;VOLCANIC_ROCK_VOUCHER_9500;1017;14;;;;;1018;14;;;;;1017.5;0.0
1;300;VOLCANIC_ROCK_VOUCHER_9750;767;14;;;;;768;14;;;;;767.5;0.0
1;300;KELP;2034;1;2032;26;;;2035;26;;;;;2034.5;0.0
1;300;SQUID_INK;1843;1;1841;26;;;1844;26;;;;;1843.5;0.0
1;300;JAMS;6541;234;;;;;6543;234;;;;;6542.0;0.0
1;300;VOLCANIC_ROCK_VOUCHER_10000;519;14;;;;;520;14;;;;;519.5;0.0
1;300;RAINFOREST_RESIN;10001;1;9992;32;;;10008;32;;;;;10004.5;0.0
1;300;VOLCANIC_ROCK_VOUCHER_10250;280;14;;;;;281;14;;;;;280.5;0.0
1;400;VOLCANIC_ROCK_VOUCHER_10250;282;18;;;;;283;18;;;;;282.5;0.0
1;400;SQUID_INK;1842;28;;;;;1845;28;;;;;1843.5;0.0
1;400;VOLCANIC_ROCK;10519;108;10518;63;;;10520;103;10521;63;;;10519.5;0.0
1;400;VOLCANIC_ROCK_VOUCHER_10500;97;18;;;;;98;18;;;;;97.5;0.0
1;400;RAINFOREST_RESIN;9992;28;;;;;10003;6;10008;28;;;9997.5;0.0
1;400;DJEMBES;13410;15;13409;46;;;13411;61;;;;;13410.5;0.0
1;400;KELP;2032;2;2031;26;;;2035;28;;;;;2033.5;0.0
1;400;JAMS;6540;211;;;;;6542;211;;;;;6541.0;0.0
1;400;VOLCANIC_ROCK_VOUCHER_10000;521;18;;;;;522;18;;;;;521.5;0.0
1;400;PICNIC_BASKET2;30255;18;30254;15;;;30261;33;;;;;30258.0;0.0
1;400;PICNIC_BASKET1;58699;2;58698;16;58697;15;58708;2;58709;16;58710;15;58703.5;0.0
1;400;VOLCANIC_ROCK_VOUCHER_9500;1019;18;;;;;1020;2;1021;16;;;1019.5;0.0
1;400;VOLCANIC_ROCK_VOUCHER_9750;770;18;;;;;771;18;;;;;770.5;0.0
1;400;MAGNIFICENT_MACARONS;628;18;625;16;620;26;635;9;643;26;648;16;631.5;0.0
1;400;CROISSANTS;4274;107;;;;;4275;53;4276;54;;;4274.5;0.0
1;500;PICNIC_BASKET2;30257;1;30256;36;;;30262;17;30263;20;;;30259.5;0.0
1;500;PICNIC_BASKET1;58697;17;58696;20;;;58707;1;58708;36;;;58702.0;0.0
1;500;VOLCANIC_ROCK_VOUCHER_9500;1017;17;;;;;1018;17;;;;;1017.5;0.0
1;500;RAINFOREST_RESIN;9992;34;;;;;10008;34;;;;;10000.0;0.0
1;500;VOLCANIC_ROCK_VOUCHER_9750;767;17;;;;;769;17;;;;;768.0;0.0
1;500;MAGNIFICENT_MACARONS;631;10;629;16;624;23;638;5;646;23;651;16;634.5;0.0
1;500;KELP;2032;1;2031;23;;;2033;3;2035;24;;;2032.5;0.0
1;500;SQUID_INK;1839;1;1838;23;;;1840;3;1842;24;;;1839.5;0.0
1;500;CROISSANTS;4274;121;;;;;4275;40;4276;81;;;4274.5;0.0
