day;timestamp;product;bid_price_1;bid_volume_1;bid_price_2;bid_volume_2;bid_price_3;bid_volume_3;ask_price_1;ask_volume_1;ask_price_2;ask_volume_2;ask_price_3;ask_volume_3;mid_price;profit_and_loss
2;0;PICNIC_BASKET2;30094;11;30093;27;;;30099;1;30100;37;;;30096.5;0.0
2;0;VOLCANIC_ROCK_VOUCHER_9750;469;11;;;;;470;11;;;;;469.5;0.0
2;0;RAINFOREST_RESIN;9992;35;;;;;10008;35;;;;;10000.0;0.0
2;0;VOLCANIC_ROCK_VOUCHER_9500;718;11;;;;;719;11;;;;;718.5;0.0
2;0;VOLCANIC_ROCK;10218;150;10217;64;;;10219;150;10220;64;;;10218.5;0.0
2;0;SQUID_INK;1799;23;;;;;1802;22;;;;;1800.5;0.0
2;0;VOLCANIC_ROCK_VOUCHER_10250;63;11;;;;;64;11;;;;;63.5;0.0
2;0;KELP;2044;23;;;;;2047;22;;;;;2045.5;0.0
2;0;DJEMBES;13419;62;;;;;13420;62;;;;;13419.5;0.0
2;0;CROISSANTS;4265;64;4264;59;;;4266;123;;;;;4265.5;0.0
2;0;MAGNIFICENT_MACARONS;653;20;651;10;645;21;662;10;671;21;677;10;657.5;0.0
2;0;JAMS;6519;59;6518;196;;;6520;59;6521;196;;;6519.5;0.0
2;0;VOLCANIC_ROCK_VOUCHER_10000;233;11;;;;;234;11;;;;;233.5;0.0
2;0;VOLCANIC_ROCK_VOUCHER_10500;8;11;;;;;9;11;;;;;8.5;0.0
2;0;PICNIC_BASKET1;58702;11;58701;27;;;58712;11;58713;27;;;58707.0;0.0
2;100;VOLCANIC_ROCK_VOUCHER_10500;8;19;;;;;9;19;;;;;8.5;0.0
2;100;VOLCANIC_ROCK;10217;106;10216;44;;;10218;106;10219;44;;;10217.5;0.0
2;100;DJEMBES;13419;20;13418;47;;;13420;67;;;;;13419.5;0.0
2;100;MAGNIFICENT_MACARONS;657;12;654;19;648;26;666;6;674;26;681;19;661.5;0.0
2;100;CROISSANTS;4265;48;4264;54;;;4266;102;;;;;4265.5;0.0
2;100;PICNIC_BASKET1;58709;3;58704;19;58703;20;58715;19;58716;20;;;58712.0;0.0
2;100;PICNIC_BASKET2;30096;3;30093;39;;;30099;19;30100;20;;;30097.5;0.0
2;100;VOLCANIC_ROCK_VOUCHER_9750;468;19;;;;;470;19;;;;;469.0;0.0
2;100;RAINFOREST_RESIN;9992;27;;;;;9999;1;10008;27;;;9995.5;0.0
2;100;VOLCANIC_ROCK_VOUCHER_9500;717;19;;;;;719;19;;;;;718.0;0.0
2;100;VOLCANIC_ROCK_VOUCHER_10250;62;19;;;;;63;19;;;;;62.5;0.0
2;100;KELP;2044;26;;;;;2046;5;2047;26;;;2045.0;0.0
2;100;SQUID_INK;1800;26;;;;;1802;5;1803;26;;;1801.0;0.0
2;100;JAMS;6519;224;;;;;6521;224;;;;;6520.0;0.0
2;100;VOLCANIC_ROCK_VOUCHER_10000;234;19;;;;;235;19;;;;;234.5;0.0
2;200;SQUID_INK;1803;1;1801;32;;;1804;32;;;;;1803.5;0.0
2;200;JAMS;6519;50;6518;123;;;6520;50;6521;123;;;6519.5;0.0
2;200;RAINFOREST_RESIN;9992;35;;;;;10008;35;;;;;10000.0;0.0
2;200;VOLCANIC_ROCK_VOUCHER_10250;64;15;;;;;65;15;;;;;64.5;0.0
