day;timestamp;product;bid_price_1;bid_volume_1;bid_price_2;bid_volume_2;bid_price_3;bid_volume_3;ask_price_1;ask_volume_1;ask_price_2;ask_volume_2;ask_price_3;ask_volume_3;mid_price;profit_and_loss
3;0;SQUID_INK;1820;1;1819;27;;;1822;27;;;;;1821.0;0.0
3;0;VOLCANIC_ROCK_VOUCHER_10000;182;16;;;;;183;16;;;;;182.5;0.0
3;0;KELP;2040;28;;;;;2043;27;;;;;2041.5;0.0
3;0;RAINFOREST_RESIN;9992;33;;;;;10008;33;;;;;10000.0;0.0
3;0;VOLCANIC_ROCK_VOUCHER_10250;36;16;;;;;37;16;;;;;36.5;0.0
3;0;JAMS;6522;181;;;;;6524;181;;;;;6523.0;0.0
3;0;MAGNIFICENT_MACARONS;667;14;665;14;658;25;676;7;685;25;692;14;671.5;0.0
3;0;DJEMBES;13296;72;;;;;13297;72;;;;;13296.5;0.0
3;0;VOLCANIC_ROCK;10165;209;;;;;10167;148;10168;61;;;10166.0;0.0
3;0;VOLCANIC_ROCK_VOUCHER_10500;3;16;;;;;4;16;;;;;3.5;0.0
3;0;VOLCANIC_ROCK_VOUCHER_9750;417;16;;;;;418;16;;;;;417.5;0.0
3;0;PICNIC_BASKET1;58412;2;58411;14;58410;30;58421;2;58422;14;58423;30;58416.5;0.0
3;0;PICNIC_BASKET2;30070;16;30069;30;;;30075;2;30076;44;;;30072.5;0.0
3;0;CROISSANTS;4241;117;;;;;4242;117;;;;;4241.5;0.0
3;0;VOLCANIC_ROCK_VOUCHER_9500;666;16;;;;;667;16;;;;;666.5;0.0
3;100;PICNIC_BASKET1;58416;2;58415;30;;;58426;12;58427;20;;;58421.0;0.0
3;100;VOLCANIC_ROCK_VOUCHER_9750;416;12;;;;;417;12;;;;;416.5;0.0
3;100;PICNIC_BASKET2;30070;2;30069;30;;;30075;12;30076;20;;;30072.5;0.0
3;100;VOLCANIC_ROCK;10164;114;10163;57;;;10165;114;10166;57;;;10164.5;0.0
3;100;VOLCANIC_ROCK_VOUCHER_9500;664;12;;;;;665;12;;;;;664.5;0.0
3;100;MAGNIFICENT_MACARONS;668;16;666;10;659;28;677;8;686;28;693;10;672.5;0.0
3;100;VOLCANIC_ROCK_VOUCHER_10250;35;12;;;;;36;12;;;;;35.5;0.0
3;100;JAMS;6522;189;;;;;6524;189;;;;;6523.0;0.0
3;100;CROISSANTS;4241;137;;;;;4242;137;;;;;4241.5;0.0
3;100;SQUID_INK;1818;7;1817;4;1816;33;1819;30;;;;;1818.5;0.0
3;100;VOLCANIC_ROCK_VOUCHER_10500;3;12;;;;;4;12;;;;;3.5;0.0
3;100;RAINFOREST_RESIN;9992;34;;;;;10008;34;;;;;10000.0;0.0
3;100;VOLCANIC_ROCK_VOUCHER_10000;180;12;;;;;181;12;;;;;180.5;0.0
3;100;DJEMBES;13296;57;;;;;13297;57;;;;;13296.5;0.0
3;100;KELP;2042;11;2040;33;;;2043;30;;;;;2042.5;0.0
3;200;VOLCANIC_ROCK_VOUCHER_10000;184;14;;;;;185;14;;;;;184.5;0.0
3;200;KELP;2040;20;;;;;2043;20;;;;;2041.5;0.0
3;200;VOLCANIC_ROCK_VOUCHER_10250;37;14;;;;;38;14;;;;;37.5;0.0
3;200;JAMS;6522;228;;;;;6524;228;;;;;6523.0;0.0
3;200;CROISSANTS;4241;118;;;;;4242;118;;;;;4241.5;0.0
3;200;DJEMBES;13296;67;;;;;13298;67;;;;;13297.0;0.0
3;200;VOLCANIC_ROCK_VOUCHER_10500;3;14;;;;;4;14;;;;;3.5;0.0
