day;timestamp;product;bid_price_1;bid_volume_1;bid_price_2;bid_volume_2;bid_price_3;bid_volume_3;ask_price_1;ask_volume_1;ask_price_2;ask_volume_2;ask_price_3;ask_volume_3;mid_price;profit_and_loss
1;0;SQUID_INK;1834;23;;;;;1838;23;;;;;1836.0;0.0
1;0;PICNIC_BASKET1;58705;12;58704;27;;;58716;12;58717;27;;;58710.5;0.0
1;0;PICNIC_BASKET2;30252;12;30251;27;;;30258;39;;;;;30255.0;0.0
1;0;RAINFOREST_RESIN;9998;9;9995;23;;;10005;23;;;;;10001.5;0.0
1;0;KELP;2032;23;;;;;2035;23;;;;;2033.5;0.0
1;0;CROISSANTS;4274;104;;;;;4276;104;;;;;4275.0;0.0
1;0;JAMS;6541;237;;;;;6543;237;;;;;6542.0;0.0
1;0;DJEMBES;13409;61;;;;;13410;27;13411;34;;;13409.5;0.0
1;100;KELP;2034;1;2033;2;2032;22;2035;22;;;;;2034.5;0.0
1;100;CROISSANTS;4275;48;4274;52;;;4276;100;;;;;4275.5;0.0
1;100;JAMS;6541;189;;;;;6543;189;;;;;6542.0;0.0
1;100;SQUID_INK;1837;1;1836;2;1835;22;1839;22;;;;;1838.0;0.0
1;100;PICNIC_BASKET1;58706;1;58705;12;58704;20;58715;1;58716;12;58717;20;58710.5;0.0
1;100;PICNIC_BASKET2;30255;13;30254;20;;;30260;1;30261;32;;;30257.5;0.0
1;100;RAINFOREST_RESIN;10002;1;10000;2;9998;4;10004;1;10005;21;;;10003.0;0.0
1;100;DJEMBES;13408;56;;;;;13410;56;;;;;13409.0;0.0
1;200;RAINFOREST_RESIN;9996;1;9995;21;;;10004;1;10005;21;;;10000.0;0.0
1;200;DJEMBES;13409;62;;;;;13410;62;;;;;13409.5;0.0
1;200;KELP;2032;22;;;;;2035;22;;;;;2033.5;0.0
1;200;CROISSANTS;4275;65;4274;98;;;4276;163;;;;;4275.5;0.0
1;200;JAMS;6542;87;6541;111;;;6543;98;6544;111;;;6542.5;0.0
1;200;SQUID_INK;1832;22;;;;;1835;22;;;;;1833.5;0.0
1;200;PICNIC_BASKET1;58707;1;58706;15;58705;26;58716;1;58717;15;58718;26;58711.5;0.0
1;200;PICNIC_BASKET2;30256;1;30255;41;;;30261;16;30262;26;;;30258.5;0.0
1;300;DJEMBES;13408;54;;;;;13410;54;;;;;13409.0;0.0
1;300;KELP;2034;1;2032;26;;;2035;26;;;;;2034.5;0.0
1;300;CROISSANTS;4275;53;4274;64;;;4276;117;;;;;4275.5;0.0
1;300;SQUID_INK;1836;1;1834;26;;;1837;26;;;;;1836.5;0.0
1;300;PICNIC_BASKET2;30256;30;;;;;30262;14;30263;16;;;30259.0;0.0
1;300;PICNIC_BASKET1;58705;14;58704;16;;;58716;14;58717;16;;;58710.5;0.0
1;300;JAMS;6541;234;;;;;6543;234;;;;;6542.0;0.0
1;300;RAINFOREST_RESIN;9995;26;;;;;10005;26;;;;;10000.0;0.0
1;400;SQUID_INK;1833;28;;;;;1836;28;;;;;1834.5;0.0
1;400;PICNIC_BASKET2;30255;18;30254;15;;;30261;33;;;;;30258.0;0.0
