symbol,Trades,Volume,Avg Price,Price Volatility
SQUID_INK,8719,25146,1880.9160454180526,78.71901306132294
KELP,8708,25003,2035.1129995406523,13.181868759795444
RAINFOREST_RESIN,5558,18640,10000.066390788053,5.857348385236022
JAMS,3534,24985,6485.514431239389,31.507850229721573
VOLCANIC_ROCK_VOUCHER_9750,3508,35620,325.98546180159633,116.60416867515615
VOLCANIC_ROCK_VOUCHER_9500,3444,34882,570.2244483159118,121.24502678831044
VOLCANIC_ROCK_VOUCHER_10000,3246,32878,130.58194701170672,78.25637551543008
DJEMBES,3111,10634,13342.252651880424,45.04798947240105
CROISSANTS,2950,19359,4265.945423728814,20.152001342155298
VOLCANIC_ROCK_VOUCHER_10250,2634,26569,27.663629460895976,22.97325825053522
VOLCANIC_ROCK,1957,12600,10067.692897291774,123.59799112716448
PICNIC_BASKET1,1736,5904,58365.46370967742,173.4077962835962
VOLCANIC_ROCK_VOUCHER_10500,1685,16863,3.541839762611276,2.5697283395632184
PICNIC_BASKET2,1610,7056,30109.61242236025,74.79700372365568
MAGNIFICENT_MACARONS,1077,4988,708.8068709377901,97.05134994031224
